Sentence_id,Verdict
525,-1
526,-1
527,-1
528,-1
529,-1
530,0
531,-1
532,-1
533,0
534,-1
535,-1
536,-1
537,-1
538,0
539,0
540,0
541,0
542,1
543,-1
544,-1
545,-1
546,-1
547,0
548,-1
549,-1
550,0
551,-1
552,-1
553,-1
554,0
555,-1
556,-1
557,-1
558,-1
559,0
560,0
561,0
562,-1
563,1
564,-1
565,1
566,0
567,0
568,-1
569,0
570,0
571,0
572,-1
573,-1
574,-1
575,-1
576,-1
577,-1
578,0
579,-1
580,-1
581,-1
582,0
583,0
584,0
585,-1
586,0
587,0
588,0
589,0
590,-1
591,0
592,0
593,0
594,-1
595,-1
596,0
597,0
598,-1
599,-1
600,0
601,0
602,0
603,0
604,-1
605,1
606,0
607,0
608,0
609,-1
610,1
611,-1
612,1
613,-1
614,0
615,0
616,0
617,-1
618,0
619,0
620,0
621,1
622,0
623,0
624,-1
625,-1
626,0
627,-1
628,1
629,0
630,-1
631,0
632,1
633,0
634,0
635,0
636,-1
637,-1
638,0
639,-1
640,0
641,0
642,0
643,1
644,-1
645,0
646,-1
647,0
648,-1
649,0
650,1
651,-1
652,0
653,0
654,0
655,0
656,-1
657,0
658,-1
659,-1
660,0
661,0
662,-1
663,-1
664,0
665,-1
666,0
667,0
668,0
669,0
670,0
671,-1
672,-1
673,0
674,0
675,1
676,0
677,0
678,0
679,1
680,1
681,-1
682,0
683,-1
684,-1
685,-1
686,-1
687,-1
688,-1
689,-1
690,-1
691,0
692,0
693,0
694,-1
695,0
696,0
697,0
698,0
699,-1
700,-1
701,0
702,-1
703,0
704,0
705,-1
706,-1
707,0
708,-1
709,-1
710,-1
711,0
712,1
713,0
714,-1
715,0
716,0
717,0
718,-1
719,-1
720,-1
721,-1
722,0
723,0
724,-1
725,0
726,-1
727,1
728,-1
729,1
730,0
731,-1
732,-1
733,-1
734,1
735,1
736,0
737,-1
738,0
739,-1
740,0
741,1
742,0
743,-1
744,-1
745,0
746,0
747,1
748,0
749,-1
750,-1
751,-1
752,0
753,0
754,-1
755,-1
756,1
757,-1
758,-1
759,0
760,-1
761,0
762,0
763,0
764,-1
765,-1
766,0
767,-1
768,-1
769,0
770,0
771,0
772,0
773,0
774,-1
775,-1
776,0
777,0
778,0
779,0
780,-1
781,-1
782,-1
783,0
784,-1
785,1
786,-1
787,-1
788,-1
789,-1
790,0
791,0
792,0
793,-1
794,-1
795,-1
796,0
797,0
798,0
799,1
800,-1
801,0
802,0
803,0
804,-1
805,-1
806,0
807,-1
808,0
809,1
810,-1
811,1
812,-1
813,-1
814,0
815,1
816,0
817,-1
818,0
819,-1
820,-1
821,-1
822,-1
823,-1
824,0
825,-1
826,-1
827,0
828,-1
829,-1
830,-1
831,1
832,-1
833,-1
834,-1
835,0
836,-1
837,-1
838,0
839,-1
840,-1
841,0
842,-1
843,1
844,0
845,1
846,1
847,-1
848,-1
849,0
850,-1
851,-1
852,-1
853,0
854,-1
855,-1
856,0
857,-1
858,-1
859,-1
860,0
861,-1
862,-1
863,1
864,0
865,-1
866,0
867,0
868,0
869,1
870,0
871,-1
872,0
873,0
874,-1
875,-1
876,1
877,-1
878,0
879,0
880,1
881,-1
882,-1
883,1
884,-1
885,-1
886,-1
887,-1
888,-1
889,-1
890,-1
891,0
892,0
893,-1
894,-1
895,0
896,0
897,-1
898,-1
899,-1
900,-1
901,0
902,0
903,-1
904,-1
905,-1
906,-1
907,0
908,1
909,-1
910,-1
911,-1
912,0
913,-1
914,-1
915,-1
916,0
917,-1
918,-1
919,1
920,-1
921,-1
922,-1
923,0
924,-1
925,-1
926,1
927,-1
928,0
929,0
930,-1
931,-1
932,-1
933,0
934,0
935,0
936,-1
937,-1
938,-1
939,0
940,-1
941,-1
942,-1
943,-1
944,0
945,1
946,0
947,0
948,0
949,0
950,-1
951,-1
952,-1
953,0
954,-1
955,-1
956,-1
957,0
958,0
959,1
960,-1
961,-1
962,0
963,0
964,-1
965,-1
966,-1
967,-1
968,0
969,-1
970,-1
971,-1
972,-1
973,-1
974,-1
975,-1
976,-1
977,-1
978,-1
979,-1
980,-1
981,-1
982,0
983,-1
984,-1
985,-1
986,0
987,-1
988,-1
989,-1
990,-1
991,0
992,0
993,-1
994,0
995,0
996,-1
997,-1
998,-1
999,0
1000,0
1001,-1
1002,-1
1003,-1
1004,-1
1005,-1
1006,0
1007,0
1008,-1
1009,-1
1010,-1
1011,1
1012,1
1013,0
1014,-1
1015,-1
1016,-1
1017,0
1018,-1
1019,0
1020,0
1021,-1
1022,0
1023,-1
1024,0
1025,0
1026,0
1027,-1
1028,1
1029,-1
1030,0
1031,0
1032,-1
